Company,Website,Funding_Stage,LinkedIn_Jobs_Search_URL,Career_Page_URL,GTM_Role_Posted,Role_Title,Date_Posted,Urgency_Score,Notes
NXXIM,nxxim.com,Seed,https://www.linkedin.com/jobs/search/?keywords=NXXIM%20(Revenue%20Operations%20OR%20RevOps%20OR%20Marketing%20Operations%20OR%20Sales%20Operations%20OR%20GTM),https://nxxim.com/careers,,,,,
Harness,harness.io,Series E ($240M),https://www.linkedin.com/jobs/search/?keywords=Harness%20(Revenue%20Operations%20OR%20RevOps%20OR%20Marketing%20Operations%20OR%20Sales%20Operations),https://harness.io/careers,,,,,
InsightX,insightx.com,Series A,https://www.linkedin.com/jobs/search/?keywords=InsightX%20(Revenue%20Operations%20OR%20RevOps%20OR%20Marketing%20Operations),https://insightx.com/careers,,,,,
Double,double.com,Series A ($6.5M),https://www.linkedin.com/jobs/search/?keywords=Double%20(Revenue%20Operations%20OR%20Marketing%20Operations%20OR%20Sales%20Operations),https://double.com/careers,,,,,
LI.FI,li.fi,Crypto ($29M),https://www.linkedin.com/jobs/search/?keywords=LI.FI%20(Head%20of%20Growth%20OR%20Business%20Development%20OR%20Partnerships),https://li.fi/careers,,,,,
On Me,onme.com,Series A ($6M),https://www.linkedin.com/jobs/search/?keywords=On%20Me%20(Revenue%20Operations%20OR%20Partnerships%20OR%20Enterprise%20Sales),https://onme.com/careers,,,,,
Serval,serval.co,Unicorn ($1B),https://www.linkedin.com/jobs/search/?keywords=Serval%20(Revenue%20Operations%20OR%20Customer%20Success%20Operations%20OR%20GTM),https://serval.co/careers,,,,,
Revibe,revibe.co,Series A ($17M),https://www.linkedin.com/jobs/search/?keywords=Revibe%20(Marketing%20Operations%20OR%20Revenue%20Operations%20OR%20Head%20of%20Growth),https://revibe.co/careers,,,,,
Saladin,saladin.ai,Series A,https://www.linkedin.com/jobs/search/?keywords=Saladin%20(Sales%20Operations%20OR%20Revenue%20Operations%20OR%20Sales%20Development),https://saladin.ai/careers,,,,,
Verisoul,verisoul.com,Series A ($8.8M),https://www.linkedin.com/jobs/search/?keywords=Verisoul%20(Head%20of%20Growth%20OR%20Trust%20and%20Safety%20OR%20Product%20Operations),https://verisoul.com/careers,,,,,
